qid,label_en,q_id,act_id
M140226026,This medallion window is in the ambulatory behind the choir.,Q122960015,47024
M140226031,Left Top to Bottom: Citizens of Marselles build a cathedral and the ruler and family return home. Right Top to Bottom: Lazarus made bishop and ruler and wife Baptized by St. Maximinus.,Q122960016,47025
M140226039,Left Top to Bottom: Ruler returns to find son alive and wife resurrected.  Mary Magdalene has angels care for the son. Right Top to Bottom: Ruler sees the results of his prayers to Mary Magdalene. Ruler (Pilgrim) prays for his wife's resurrection.,Q122960017,47026
M140226048,Left Top to Bottom: Ruler left alone to continue his pilgrimage. Ruler's wife dies giving birth to a son. Right Top to Bottom: Bodies placed on and island. Pilgrim meets St. Peter in Jerusalem,Q122960018,47027
M140226061,"Although the scene is blocked, Lazarus, Martha, and Mary Magdalene prepare and leave Jerusalem",Q122960020,47029
M140226074,"Left Top to Bottom: Christ with Mary Magdalene and Lazarus. Christ with Mary Magdalene below the table annointing. Right Top to Bottom: Martha scolding Mary Magdalene with Chris blessing. Athough obstructed, Mary Magdalene below the table annointing.",Q122960021,47030
M140226081,"Left Top to Bottom: Martha and Mary Magdalene. Martha, Mary Magdalene, and Lazarus in bed. Right Top to Bottom: Praying to Jesus to save Lazarus. Christ and Martha.",Q122960023,47031
M140226090,"Left Top to Bottom: Mary Magdalene, Lazarus, and Jesus seated. Martha and Mary Magdalene plead for Jesus to raise Lazarus. Right Top to Bottom: Christ on the cross with Mary Magdalen at his feet. Raising of Lazarus.",Q122960024,47032
M140226099,Left Top to Bottom: Mary Magdalene meets the risen Jesus in the garden. Mary Magdalene and the angel at the empty tomb. Right Top to Bottom: Mary Magdalene tells disciples of the Rresurrection. Mary Magdalene and the gardener.,Q122960025,47033
M140226102,Left Top to Bottom: Supper at Emmaus. Right Top to Bottom: Mary Magdalene with St. Peter.,Q122960027,47034
M140226112,Medallion window above the Mary Magdalene windows,Q122960028,47035
M140226128,Left Top to Bottom: The Magi before Herod. Annunciation to the Shepherds. Right Top to Bottom: Adoration of the Magi. Magi follow the Star,Q122960035,47040
M140226134,Left Top to Bottom: Idols in Egypt fall as Jesus enters. Angel appears to Joseph. Angel appears to the Magi. Right Top to Bottom: Herod calls his soldiers. Flight into Egypt. Mary and Joseph prepare to depart Bethlehem,Q122960036,47041
M140226148,Left top to bottom: Prodigal and Elder Brother. Prodigal received inheritance from Father. Right top to bottom: John the Baptist Baptises Jesus. John preaching of the coming Kingdom,Q122960038,47043
M140226154,Left Top to Bottom: Prodigal is stripped and beaten. Prodigal gambles his inheritance. Right Top to Bottom: Banquet of Herod's Birthday party. John accuses Herod of commiting adultery being with his brother's wife.,Q122960039,47044
M140226168,Left Top to Bottom: Homecoming celebration for the Prodigal. Fatted calf. Prodigal pleads for forgiveness. Right Top to Bottom: Friends carry off John's body for burial. Salome brings the head to Herod. Executioner gives the head to Salome,Q122960042,47046
M140226177,Medallion window over both windows showing John the Baptist pointing to Christ who is blessing and holding a book,Q122960043,47047
M140226184,Left top to bottom: Nativity. Annunciation. Right top to bottom: Presentation in the Temple. Annunciation to the shepherds,Q122960044,47048
M140226192,Left Top to Bottom: Angel warns the Magi in a dream. Adoration of the Magi. Right Top to Bottom: Magi depart by a different route. Angel appreas to Joseph in a dream,Q122960045,47049
M140226200,Left Top to Bottom: Pentecost (partial). Ascension. Flight into Egypt. Right Top to Bottom: Christ in Majesty (partial). Crufixion of St. Peter. Baptism of Jesus,Q122960046,47050
M140226219,Left Top to Bottom: Christ in the arch. Martyrdom of Paul. Unknown (greeting of two figures) St. Peter and St. Paul. Right Top to Bottom: Mary as Queen of Heaven in the arch. Unknown burial. Unknown figures with one seating on a throne. 2 Bishops.,Q122960049,47052
M140226225,Left Top to Bottom: Soldiers to arrest Jesus. Last Supper. Right top to bottom: Unknown (Two disciples in each frame? 2 sets),Q122960050,47053
M140226232,Left Top to Bottom: The Flagellation. Kiss of Judas. Right Top to Bottom: Unknown (Two disciples in each frame? 2 sets),Q122960051,47054
M140226241,Left Top to Bottom: The Crowning of Thorns. Jesus carrying the cross. Right Top to Bottom: Unknown (Two seated disciples in each frame? 2 sets),Q122960053,47055
M140226249,Left Top to Bottom: The Harrowing of Hell. Placing Jesus in the Tomb. Taking Jesus from the cross. Right Top to Bottom: Unknown (Two seated disciples in each frame. 3 sets),Q122960054,47056
M140226260,Left Top to Bottom: Angel with Incense holder in the arch. The Ascension. The Resurrection. Right Top to Bottom: Angel with Incense holder in the arch. Two angels holding the elements of the sacrament. Trinitarian Holy Spirit.),Q122960055,47057
M140226302,Modern window of the Four Horsemen of the Apocalypse with a partial sculpture of the Mary as the Queen of Heaven with Jesus in her lap,Q122960061,47062
M140226306,"Modern window with Christ in Majesty, the Alpha and Omega, the Tetramorph (Matthew the man, Luke the Bull, Mark the Lion, and John the Eagle), the 24 Elders of the Apocalypse. (Vision of Revelations 4)",Q122960062,47063
M140226055,"Left: Mary Magdalene appears to ruler's wife. Lazarus, Martha, and Mary Magdalene arrive at Marseilles. Right: Mary Magdalene persuades ruler and wife not to worship in the church with idols. Mary Magdalene comes to the church with idols to preach",Q122960019,47028
M140226118,Left: Nativity of Jesus. Annunciation to Mary. Right: Angels and the Shepherds. The Visitation. The motifs of the fleur-de-lys (reign of St. Louis) and the towers of the castle (Castile line) refer to the marriage of Philippe III and date (1262).,Q122960034,47039
M140226141,Left: Unknown (Soldier before Pharaoh). Massacre of the Innocents. Idols fall as Holy Family enter Egypt. Right: Holy Family leaves Egypt. Massacre of the Innocents. Herod calls his soldiers. Two Angels with outstretched arms at the top of this set,Q122960037,47042
M140226161,Left: Prodigal pleads for forgiveness. Finds himself starving and eating what the pigs eat. Prodigal is directed to tend the pigs. Right: Head of John the baptist given Salome. John is beaten. John in prayer before the executioner.,Q122960041,47045
M140226209,"Left: Assumption of Mary. Holy Spirit as a Dove and the Cross. Pentecost. Right: Christ crowning Mary. Death of Mary. Christ in Magesty surround by the tetramorph (Matthew the man, Mark the lion, Luke the bull, and John the Eagle)",Q122960047,47051
